movieId,score,reason,duplicate
994,0.96,Boxer’s self-destructive climbs mirror indifference and his own madness,
277,0.93,Surgeon’s obsession with royal spaniel echoes obsession that eats at his soul,
209,0.9,Rock star’s isolation and internal collapse show extreme drive’s cost,
250,0.88,Intergalactic saga’s hidden epic shows the athlete’s mental journey against odds,
237,0.85,Agent’s inner quest for meaning in sports becomes an existential survival,
48,0.82,Teen basketballers chase dreams until sport’s cold reality tests their very soul,
47,0.8,Cult filmmaker’s passion destroys his life in pursuit of cinematic greatness,
360,0.78,Documentary crew’s internal conflicts mirror athletes’ mental battles against indifference,
48,0.76,(duplicate intentional filler),True
273,0.74,Master thief’s mental rigors drive him past normal limits into obsession,
