movieId,score,reason,title
11,0.98,Two detectives obsessively track a serial killer through dead ends and a chilling final clue.,
654,0.96,A private eye’s decades-old case unravels with each twisted revelation until one tiny detail cracks it open.,
302,0.94,Three LAPD officers wade through corruption and unanswered murders before a subtle lead resurfaces.,
98,0.92,An FBI trainee’s pursuit of a serial killer builds over time until a single clue turns the tide.,
332,0.9,"Detective Alex Cross follows a string of abductions, hitting dead ends until a small detail breaks the case.",
5,0.88,A criminal psychologist is drawn into a cat-and-mouse hunt for a copycat serial killer that spans years.,
159,0.86,"Detective Curran’s intense investigation of a seductive suspect unfolds in slow, suspenseful layers.",
1477,0.82,A morgue night watchman stalks a methodical killer across cold trails until a single slip reveals the truth.,
328,0.8,"A renegade cabbie and an FBI agent peel back a web of conspiracy in a methodical, obsession-driven probe.",
566,0.78,"A CIA analyst unravels a covert drug war, hitting dead ends until a covert memo reignites the hunt.",
