movieId,score,reason,plot
141,0.95,Classic 1954 sci-fi adventure undersea voyage,
434,0.93,Groundbreaking 1956 sci-fi on alien planet,
135,0.85,1968 space odyssey but roots in 1950s vision,
89,0.8,1982 Neo-noir future with 2019 setting,
176,0.78,1986 action sci-fi sequel with tense space combat,
82,0.75,1993 dinosaur sci-fi with groundbreaking effects,
249,0.7,1997 spy-fi comedy with time travel nods,
250,0.68,1997 futuristic action with alien threat,
270,0.65,1997 genetic sci-fi on human potential,
271,0.63,1997 bug war space opera,
