movieId,score,reason,title,year,plot
12,0.95,Mastermind twist-filled heist thriller with slick team assembly.,The Usual Suspects,1995,
42,0.93,Tense warehouse caper about planning and executing a perfect crime.,Reservoir Dogs,1992,
273,0.91,Epic city-level heist with meticulous crew recruitment.,Heat,1995,
239,0.89,Smart gadget-driven team caper testing every member’s skill.,Sneakers,1992,
405,0.87,Spies assembling a high-tech team for heart-stopping theft.,Mission: Impossible,1996,
129,0.85,Gripping con-artist alliance with cold precision.,Bound,1996,
1416,0.83,Underslung armored-car takedown with cool teamwork.,S.F.W.,1994,
531,0.8,Obsession with perfect crime escalates into high-stakes run.,Shine,1996,
305,0.78,History-driven heist over railway bones uncovers secrets.,Railway Children,1970,
215,0.75,Farm-to-bank heist piggybacking unlikely partnerships.,Blazing Saddles,1974,
