movieId,score,reason,prompt_id
474,0.97,Cold war absurdities amplify dark humor in nuclear-doomsday satire,0789
433,0.95,Teen clique cruelty and murder cloaked in razor-sharp wit,0789
100,0.93,A kidnapping scheme spirals into absurd tragedy in frozen Minnesota,0789
42,0.91,"Store clerks endure death threats, bulls**t bosses and miserable customers",0789
175,0.89,Bureaucratic dystopia laughs at bleak totalitarian absurdity,0789
179,0.87,Ultraviolence and aversion therapy provoke unsettling laughs,0789
11,0.85,Retirement boredom meets grisly serial-killer media circus,0789
53,0.83,Media-glorified killing spree becomes dark carnival of chyrons and chaos,0789
156,0.81,A botched heist devolves into comic-tragic bickering and brutal double-crosses,0789
56,0.79,Intersecting underworld stories punctuated by darkly comedic violence,0789
